自助取数经营主体(日),1,1点,管理处
人力指标全国-省份-地市（日）,1,1点,管理处
四大连锁维表,1,1点,管理处
销售点员工信息（日）,1,1点,管理处
自助取数店中商维表(日),1,1点,管理处
人力主数据明细表（日）,1,2点,管理处
人力综合健康度评价应用层表（日）,1,2点,管理处
掌上经分-每日发展,32,2点,管理处
竞争分析重点指标视图.竞争分析,1,5点,管理处
短信指标迁移日指标_橘云2-省份,1,5点,管理处
短信指标迁移日指标_橘云2-南北方,1,5点,管理处
短信指标迁移日指标_橘云2-全国,1,5点,管理处
用户发展快报（日）,1,5点,管理处
渠道运营代理商数据表（日）,1,6点,管理处
渠道运营人员数据表(日),1,6点,管理处
领导驾驶舱简报（日）,1,7点,管理处
领导驾驶舱简报（日）--分省数据,1,7点,管理处
领导驾驶舱展现数据（日）,1,7点,管理处
华为MATE20 5G短信（日）,1,7点,管理处
5G终端当日销量发送新指标_本地网,1,7点,管理处
华为Mate20 5G版短信当日销量指标_本地网,1,7点,管理处
手机号在网状态日,31,11点,应用处
用户终端信息核验(日),31,11点,应用处
企业信用评分数据表（日）,1,11点,应用处
号百二次放号-主动推送（日）,31,11点,应用处
门户-移动用户发展（日）,31,10点,应用处
农村实体渠道宽带用户发展快报(日),1,10点,应用处
农村实体渠道移动用户发展快报(日),1,10点,应用处
自有员工号码停用提醒信息表（日）,1,10点,应用处
销售员销量,1,10点,应用处
终端明星机上市90天销量报表（日）,1,10点,应用处
终端明星机上市后累计销量报表（日）,1,10点,应用处
固定报表（分省终端销售汇总报表）,1,10点,应用处
终端销售报表明细表（日）,1,10点,应用处
固定报表（分省终端销售明细报表）,1,10点,应用处
终端销量多维（日）,31,10点,应用处
终端自注册销量应用日报（日）,1,10点,应用处
终端总自注册量报表（日）,1,10点,应用处
用户发展多维日,31,10点,应用处
固定报表（分渠道、分省用户发展报表（月、年））,1,10点,应用处
用户发展日报（日）,31,10点,应用处
固定报表（分渠道、分省用户发展报表（日））,1,10点,应用处
集团宽表计算核心业务汇总指标信息（日）,1,10点,应用处
下发汇聚重点指标（日）,31,10点,应用处
易信公众号宽带发展日报（日）,1,10点,应用处
政企五类岗发展量清单（日表）,1,10点,应用处
政企网点发展量清单（日表）,1,10点,应用处
政企客户（日）,1,10点,应用处
分渠道部门用户发展多维分析(日),31,10点,平台处
营销系统终端标签（日）,31,10点,平台处
用户发展类多维（日）,31,10点,平台处
销售点多维分析日表(日),1,12点,平台处
销售员业务发展分析（日）,1,12点,平台处
全渠道发展量多维(日)_4G,1,12点,平台处
营销大赛-战狼信息（日）,1,12点,平台处
PPM销售品发展量多维（日）,31,12点,平台处
4G产品实例汇总层（日）,31,12点,平台处
产品实例基本信息汇总层（日）,31,12点,平台处
PPM销售品发展量多维（日）,1,12点,平台处
经营主体编码表,1,1点,质量处
AB类销售品(日),1,1点,质量处
销售品编码映射表(日),1,1点,质量处
营销资源字典表(日),1,1点,质量处
产品规格编码映射表(日)(封存),31,3点,质量处
销售品编码映射表(日)(封存),31,3点,质量处
销售品维表(日)(封存),31,3点,质量处
产品颜色编码表(增量),1,3点,质量处
集约套餐发展情况统计维表（日）,1,6点,质量处
目录节点,1,6点,质量处
销售品属性,1,6点,质量处
销售品,1,6点,质量处
资费信息,1,6点,质量处
管理标签,1,6点,质量处
管理标签取值规格,1,6点,质量处
对象标签关系,1,6点,质量处
PPM销售品目录（日）,1,6点,质量处
5G销售品标签表,1,6点,质量处
PPM_销售品（日）,31,6点,质量处
地域维表(日)(封存),31,8点,质量处
终端集约机型配置表,1,8点,质量处
